Code,Nom,Description,Années
IOA,Athlètes olympiques indépendants,Athlètes olympiques/paralympiques indépendants (Independent Olympic/Paralympic Athlete),2000;2012;2014;2016
IOP,Participants olympiques indépendants,Participants olympiques/paralympiques indépendants (Independent Olympic/Paralympic Participant),1992
AIA,Anguilla,Anguilla,
UAR,République arabe unie,République arabe unie,1960-1968
ANZ,Australasie,Australasie,1908-1912
BOH,Bohême,Bohême,1900-1912
EUA,Équipe unifiée d'Allemagne,RFA et RDA,1956-1964
BWI,Indes occidentales,Fédération des Indes occidentales,1958-1962
ZZX,Équipe mixte,Équipe mixte aux Jeux olympiques (Mouvement olympique),1896-1904
GDR,Allemagne de l'Est,République démocratique allemande,1952;1968-1988
FRG,Allemagne de l'Ouest,République fédérale d'Allemagne (avant réunification),1952;1968-1988
RHO,Rhodésie,Rhodésie,1970-1979
RU1,Empire russe,Empire russe,1900-1912
SCG,Serbie-et-Monténégro,Serbie-et-Monténégro,2004-2006
TCH,Tchécoslovaquie,Tchécoslovaquie,1920-1992
EUN,Équipe unifiée,Ex-URSS / CEI,1992
URS,URSS,Union des républiques socialistes soviétiques,1924-1988
YUG,Yougoslavie (RFY),République fédérale de Yougoslavie,1996-2002
YUG,Yougoslavie (RFSY),République fédérative socialiste de Yougoslavie,1920-1988
ROU,Roumanie,Roumanie,1900-1912;1924-2020
SRB,Serbie,Serbie,2008-2020
TTO,Trinité-et-Tobago,Trinité-et-Tobago,1948-2020
MNE,Monténégro,Monténégro,2008-2020